name,absolute_magnitude_h,diameter_min_km,diameter_max_km,is_hazardous,close_approach_date,velocity_kmph,miss_distance_km
(2025 OR5),28.42,0.0055024357,0.0123038203,False,2025-07-27,9477.1378025767,1741314.853501983
(2025 OT5),26.99,0.0106305314,0.023770591,False,2025-07-27,29186.0037484938,4792232.110101484
475534 (2006 TS7),21.25,0.1494703242,0.3342258056,True,2025-07-28,93173.7372143551,42002265.20362089
(2005 YX128),19.02,0.4174024334,0.933340215,False,2025-07-28,78182.1730280628,9319365.0212106
(2010 EX11),24.11,0.0400456158,0.0895447192,False,2025-07-28,24375.2237707139,26616920.030070778
(2015 OH26),24.1,0.040230458,0.0899580388,False,2025-07-28,49432.5933702538,45568814.932477266
(2017 CR1),27.8,0.0073207399,0.016369672,False,2025-07-28,19503.9136191324,24525647.992038906
(2018 BE5),24.5,0.0334622374,0.0748238376,False,2025-07-28,50035.695702048,4153921.111682399
(2018 BR6),26.3,0.0146067964,0.0326617897,False,2025-07-28,30636.7032954765,58067973.591163464
(2018 GC2),26.8,0.0116025908,0.0259441818,False,2025-07-28,20655.7312330756,74284556.26261224
(2021 CP9),26.97,0.0107288945,0.0239905375,False,2025-07-28,64365.5675739647,69628214.22008479
(2021 NM4),24.9,0.0278326768,0.0622357573,False,2025-07-28,63328.9644350345,46747261.14299903
(2021 OJ),22.54,0.0825191939,0.1845185269,False,2025-07-28,72004.9357586632,27067037.86545623
(2021 VY4),26.43,0.0137579896,0.0307638,False,2025-07-28,61078.5802954033,46463799.6880916
(2022 BC6),24.09,0.0404161533,0.0903732663,False,2025-07-28,74512.1579695477,69389300.79681487
613291 (2005 YX128),19.02,0.4174024334,0.933340215,False,2025-07-28,78182.1405821311,9319386.877459407
(2022 VG),27.72,0.0075954757,0.0169839999,False,2025-07-28,39964.7209394912,47639058.476636425
(2025 OW),23.52,0.052547853,0.1175005715,False,2025-07-28,75488.85098311,632687.120812814
(2025 OB1),23.47,0.0537718498,0.1202375114,False,2025-07-28,21628.3005852811,17805185.431211606
(2025 OU2),25.79,0.0184737464,0.0413085527,False,2025-07-28,9839.0908342017,5131864.259080993
(2025 OP3),24.98,0.0268259417,0.0599846292,False,2025-07-28,25179.9924455596,8072924.095449189
(2025 OM4),25.03,0.0262153087,0.0586192124,False,2025-07-28,22279.8303050654,7091670.257428773
(2025 OO4),26.01,0.0166937912,0.0373284519,False,2025-07-28,31723.7833897017,2273418.589798189
(2025 ON10),28.142,0.0062539582,0.0139842757,False,2025-07-28,38553.6107945585,767597.397137279
(2025 OO11),26.55,0.013018321,0.0291098508,False,2025-07-28,40037.88786772,2823234.654063247
162142 (1998 VR),18.83,0.4555698523,1.0186851583,False,2025-07-29,32917.6799307002,61049021.83576988
(2010 KU7),22.24,0.0947447113,0.2118556149,False,2025-07-29,58029.763520902,57375246.20297422
(2014 FO47),20.21,0.2412986969,0.5395602892,True,2025-07-29,59233.268070743,72138945.8650592
(2015 BP515),21.11,0.1594244681,0.3564839479,True,2025-07-29,40786.9445374985,25804226.265263278
(2015 PU56),23.0,0.0667659413,0.1492931834,False,2025-07-29,42787.8574079252,67848909.19693331
(2022 KM),22.07,0.1024601475,0.2291078547,False,2025-07-29,47555.339328693,60278267.08582753
(2025 OA4),25.04,0.0260948603,0.0583498816,False,2025-07-29,48095.8323333793,6986030.330268082
(2025 OS4),24.14,0.0394961694,0.0883161196,False,2025-07-29,50117.6910640115,25417908.136606716
(2025 OL5),27.89,0.0070235225,0.0157050737,False,2025-07-29,59692.4953773494,131825.284009112
(2025 OW7),25.016,0.0263848711,0.0589983653,False,2025-07-29,21395.2793997605,22379080.916107215
(2025 OB11),24.855,0.0284154787,0.063538942,False,2025-07-29,23078.0289183227,11384645.955228247
442037 (2010 PR66),19.27,0.3720103103,0.8318403423,True,2025-07-30,74049.2679646724,26869946.17232139
(2018 WE1),26.1,0.0160160338,0.0358129403,False,2025-07-30,41546.3889039912,46826539.576779164
(2021 AX6),26.89,0.011131533,0.0248908644,False,2025-07-30,62966.9932004171,71915987.39869988
(2022 NR),25.85,0.0179702855,0.0401827799,False,2025-07-30,25540.7928605928,15822831.159269992
(2022 WF2),26.33,0.0144063837,0.0322136532,False,2025-07-30,55383.3604363802,60816349.54587764
(2023 JF),27.65,0.0078443141,0.0175404196,False,2025-07-30,53825.1333012659,41484756.25048167
(2023 QB2),26.25,0.0149470324,0.0334225806,False,2025-07-30,19630.8463784935,29397482.385389496
(2023 VT3),26.31,0.0145396843,0.0325117225,False,2025-07-30,29587.377815948,59156517.40589088
(2025 EU),25.72,0.0190789723,0.0426618789,False,2025-07-30,17303.1980200145,29693459.572095808
(2025 OL1),25.02,0.0263363131,0.0588897864,False,2025-07-30,27198.8982898935,2077104.611110116
(2025 ON1),25.36,0.0225193047,0.050354696,False,2025-07-30,11078.6926770991,6183138.412380212
(2025 OE2),22.71,0.0763053479,0.1706239449,False,2025-07-30,108060.3090562338,9832963.171872491
(2025 OX3),26.7,0.0121494041,0.0271668934,False,2025-07-30,33524.6722905751,3782867.411128303
(2025 OU4),26.75,0.0118728499,0.0265484994,False,2025-07-30,44962.5186244166,699447.803222826
(2025 OM10),24.539,0.0328666149,0.0734919852,False,2025-07-30,20347.2758172603,2227833.77012263
